id,name,status,company_type,address,postcode,website,source
15896572,AL AQSA MASJID DOCKLANDS LTD,active,private-limited-guarant-nsc,N/A,E14 3LU,https://find-and-update.company-information.service.gov.uk/company/15896572,Companies House
09399204,BUDE STRATTON BUSINESS PARK MANAGEMENT COMPANY (NO 2) LIMITED,active,private-limited-guarant-nsc,N/A,EX23 0LU,https://find-and-update.company-information.service.gov.uk/company/09399204,Companies House
14019334,BRAMBLEDOWN RESIDENTIAL MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,TN26 3AF,https://find-and-update.company-information.service.gov.uk/company/14019334,Companies House
15316314,AMC CARRIAGE LTD,active,private-limited-guarant-nsc,N/A,DN8 5BP,https://find-and-update.company-information.service.gov.uk/company/15316314,Companies House
05429125,RUXLEY MEWS (CLAYGATE) MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,KT10 0HE,https://find-and-update.company-information.service.gov.uk/company/05429125,Companies House
13475646,ACTIVE FUTURES EDUCATIONAL DEVELOPMENT CIC,active,private-limited-guarant-nsc,N/A,DN1 2HY,https://find-and-update.company-information.service.gov.uk/company/13475646,Companies House
13658185,HOUSE OF CULTURE C.I.C.,active,private-limited-guarant-nsc,N/A,M14 6DW,https://find-and-update.company-information.service.gov.uk/company/13658185,Companies House
13173081,EDEN HOUSE COMMUNITY LINKS C.I.C.,active,private-limited-guarant-nsc,N/A,DN3 2JD,https://find-and-update.company-information.service.gov.uk/company/13173081,Companies House
10320715,OUT YOUTH C.I.C.,active,private-limited-guarant-nsc,N/A,DN8 4BG,https://find-and-update.company-information.service.gov.uk/company/10320715,Companies House
03193179,THORNE RUGBY CLUB LIMITED,active,private-limited-guarant-nsc,N/A,DN1 2HD,https://find-and-update.company-information.service.gov.uk/company/03193179,Companies House
10425496,SHEFFIELD DYSLEXIA CENTRE LIMITED,active,private-limited-guarant-nsc,N/A,DN1 2HS,https://find-and-update.company-information.service.gov.uk/company/10425496,Companies House
11419492,ALMOND BOXING ACADEMY C.I.C.,active,private-limited-guarant-nsc,N/A,DN8 4HU,https://find-and-update.company-information.service.gov.uk/company/11419492,Companies House
15160130,COULMAN EOT LIMITED,active,private-limited-guarant-nsc,N/A,DN8 5JU,https://find-and-update.company-information.service.gov.uk/company/15160130,Companies House
09898949,AFRICAN LEADERSHIP EXCELLENCE AWARDS LIMITED,active,private-limited-guarant-nsc,N/A,SW8 2BZ,https://find-and-update.company-information.service.gov.uk/company/09898949,Companies House
13479984,CLARUS RESIDENTS LITTLE HOOKSTEAD FARM LIMITED,active,private-limited-guarant-nsc,N/A,TN26 3AF,https://find-and-update.company-information.service.gov.uk/company/13479984,Companies House
06471394,TMCRFM LIMITED,active,private-limited-guarant-nsc,N/A,DN8 5QH,https://find-and-update.company-information.service.gov.uk/company/06471394,Companies House
14781697,WORLD WOMEN WELLBEING CIC,active,private-limited-guarant-nsc,N/A,DN2 5AD,https://find-and-update.company-information.service.gov.uk/company/14781697,Companies House
16137784,WILLOWBRIDGE SHEEP VISITS CIC,active,private-limited-guarant-nsc,N/A,PE20 1JP,https://find-and-update.company-information.service.gov.uk/company/16137784,Companies House
04757009,53 THORNE ROAD FREEHOLD COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,SW8 2BY,https://find-and-update.company-information.service.gov.uk/company/04757009,Companies House
15477693,COMPLETE ROOFING SERVICES YORKSHIRE LTD,active,private-limited-guarant-nsc,N/A,DN8 4HH,https://find-and-update.company-information.service.gov.uk/company/15477693,Companies House
15677300,VOICES SOCIAL ENTERPRISE CIC,active,private-limited-guarant-nsc,N/A,WV13 1AW,https://find-and-update.company-information.service.gov.uk/company/15677300,Companies House
10586049,MK CHOICES CIC,active,private-limited-guarant-nsc,N/A,S75 6NU,https://find-and-update.company-information.service.gov.uk/company/10586049,Companies House
12491589,76/78 THORNE ROAD PROPERTY ASSOCIATES LIMITED,active,private-limited-guarant-nsc,N/A,DN2 5BL,https://find-and-update.company-information.service.gov.uk/company/12491589,Companies House
07294511,MAPLE (358) LIMITED,active,private-limited-guarant-nsc,N/A,HR9 5HT,https://find-and-update.company-information.service.gov.uk/company/07294511,Companies House
03341466,THE NEATH PORT TALBOT COMMUNITY VOLUNTARY SERVICE LIMITED,active,private-limited-guarant-nsc,N/A,SA11 1EF,https://find-and-update.company-information.service.gov.uk/company/03341466,Companies House
08440844,ARTISTIC SPECTRUM LIMITED,active,private-limited-guarant-nsc,N/A,DN8 5TW,https://find-and-update.company-information.service.gov.uk/company/08440844,Companies House
16169929,MEATY PATTY LTD,active,private-limited-guarant-nsc,N/A,DN8 5DE,https://find-and-update.company-information.service.gov.uk/company/16169929,Companies House
16248690,THORNE HEDGEHOG RESCUE CIC,active,private-limited-guarant-nsc,N/A,TN27 0RD,https://find-and-update.company-information.service.gov.uk/company/16248690,Companies House
14021965,REPURPOSE I.T LTD,active,private-limited-guarant-nsc,N/A,DN8 5BA,https://find-and-update.company-information.service.gov.uk/company/14021965,Companies House
04170290,ILKLEY PLAYERS LIMITED,active,private-limited-guarant-nsc,N/A,LS29 8DW,https://find-and-update.company-information.service.gov.uk/company/04170290,Companies House
11980531,HEATHMOUNT HALL RIGHT TO MANAGE COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,LS29 9JN,https://find-and-update.company-information.service.gov.uk/company/11980531,Companies House
03758620,BRACKEN GHYLL GOLF CLUB LIMITED,active,private-limited-guarant-nsc,N/A,LS29 0SL,https://find-and-update.company-information.service.gov.uk/company/03758620,Companies House
13941166,OAKSTONE TRUSTEES LIMITED,active,private-limited-guarant-nsc,N/A,LS29 0NQ,https://find-and-update.company-information.service.gov.uk/company/13941166,Companies House
11959859,WHARFEBANK PLACE MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,LS21 3LP,https://find-and-update.company-information.service.gov.uk/company/11959859,Companies House
11385828,THE UNITED KINGDOM AUTOMATED SYNTHESIS FORUM LTD,active,private-limited-guarant-nsc,N/A,LS29 9DX,https://find-and-update.company-information.service.gov.uk/company/11385828,Companies House
01072245,GOODWOOD MANAGEMENT LIMITED,active,private-limited-guarant-nsc,N/A,LS29 0BY,https://find-and-update.company-information.service.gov.uk/company/01072245,Companies House
10099155,IYCA CIC,active,private-limited-guarant-nsc,N/A,LS29 9BZ,https://find-and-update.company-information.service.gov.uk/company/10099155,Companies House
07149202,PARALLEL 53 LIMITED,active,private-limited-guarant-nsc,N/A,LS29 8BD,https://find-and-update.company-information.service.gov.uk/company/07149202,Companies House
02643772,RIDLEYS FOLD MANAGEMENT (NO. 3) LIMITED,active,private-limited-guarant-nsc,N/A,LS29 0SQ,https://find-and-update.company-information.service.gov.uk/company/02643772,Companies House
14600055,HST EMPLOYEE OWNERSHIP TRUST LIMITED,active,private-limited-guarant-nsc,N/A,LS29 8JZ,https://find-and-update.company-information.service.gov.uk/company/14600055,Companies House
11340506,UNIT 7 BAILDON MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,LS29 8AG,https://find-and-update.company-information.service.gov.uk/company/11340506,Companies House
05678008,HIGH MOOR GRANGE MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,N/A,LS29 8AG,https://find-and-update.company-information.service.gov.uk/company/05678008,Companies House
01061343,WORD UP NORTH LIMITED,active,private-limited-guarant-nsc,N/A,LS29 9EE,https://find-and-update.company-information.service.gov.uk/company/01061343,Companies House
